id,crossing_id,reported_at,wait_minutes,reported_by,source,raw_text,quality_flag,camera_avg_min
30,2,2026-05-02 23:28:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 02.05.2026 23:28 | by mpb_kosovo | 15 min,ok,0.5
29,2,2026-05-02 23:49:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 02.05.2026 23:49 | by mpb_kosovo | 5 min,ok,0.5
28,2,2026-05-03 00:08:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 00:08 | by mpb_kosovo | 5 min,no_camera_data,
27,2,2026-05-03 00:38:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 00:38 | by mpb_kosovo | 5 min,no_camera_data,
36,2,2026-05-03 01:28:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 01:28 | by mpb_kosovo | 5 min,ok,1.6
35,2,2026-05-03 01:49:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 01:49 | by mpb_kosovo | 5 min,ok,1.6
37,2,2026-05-03 02:08:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 02:08 | by mpb_kosovo | 5 min,ok,1.6
40,2,2026-05-03 02:28:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 02:28 | by mpb_kosovo | 5 min,ok,1.6
39,2,2026-05-03 02:38:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 02:38 | by mpb_kosovo | 5 min,ok,1.6
38,2,2026-05-03 02:49:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 02:49 | by mpb_kosovo | 5 min,ok,1.6
42,2,2026-05-03 03:54:00+02,15,anonymous_,borderalarm,by mpb_kosovo | 15 min | 03.05.2026 03:54 | by anonymous_ | 5 min,ok,1.6
41,2,2026-05-03 04:09:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 04:09 | by mpb_kosovo | 15 min,ok,1.5
43,2,2026-05-03 04:38:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 04:38 | by mpb_kosovo | 5 min,ok,1.5
45,2,2026-05-03 05:28:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 05:28 | by mpb_kosovo | 5 min,ok,1.1
44,2,2026-05-03 05:49:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 05:49 | by mpb_kosovo | 5 min,ok,1.1
46,2,2026-05-03 06:08:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 06:08 | by mpb_kosovo | 5 min,ok,1.2
47,2,2026-05-03 06:38:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 06:38 | by mpb_kosovo | 5 min,ok,1.2
49,2,2026-05-03 07:28:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 07:28 | by mpb_kosovo | 5 min,ok,2.2
48,2,2026-05-03 07:49:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 07:49 | by mpb_kosovo | 5 min,ok,2.2
50,2,2026-05-03 08:08:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 08:08 | by mpb_kosovo | 5 min,ok,1.3
51,2,2026-05-03 08:38:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 08:38 | by mpb_kosovo | 5 min,ok,1.3
53,2,2026-05-03 09:28:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 09:28 | by mpb_kosovo | 5 min,ok,0.7
52,2,2026-05-03 09:49:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 09:49 | by mpb_kosovo | 5 min,ok,0.7
54,2,2026-05-03 10:08:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 10:08 | by mpb_kosovo | 5 min,ok,1.5
55,2,2026-05-03 10:38:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 10:38 | by mpb_kosovo | 5 min,ok,1.5
57,2,2026-05-03 11:28:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 11:28 | by mpb_kosovo | 5 min,ok,2.2
56,2,2026-05-03 11:49:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 11:49 | by mpb_kosovo | 5 min,ok,2.2
59,2,2026-05-03 12:08:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 12:08 | by mpb_kosovo | 5 min,ok,2.2
58,2,2026-05-03 12:38:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 12:38 | by mpb_kosovo | 5 min,ok,2.2
61,2,2026-05-03 13:28:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 13:28 | by mpb_kosovo | 5 min,ok,1.9
60,2,2026-05-03 13:49:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 13:49 | by mpb_kosovo | 5 min,ok,1.9
62,2,2026-05-03 14:08:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 14:08 | by mpb_kosovo | 5 min,ok,3.4
63,2,2026-05-03 14:38:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 14:38 | by mpb_kosovo | 5 min,ok,3.4
