73,3,2026-05-04 15:23:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 04.05.2026 15:23 | by anonymous_ | 10 min
74,3,2026-05-04 16:29:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 04.05.2026 16:29 | by anonymous_ | 5 min
75,3,2026-05-04 17:27:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 04.05.2026 17:27 | by anonymous_ | 15 min
76,3,2026-05-04 18:26:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 04.05.2026 18:26 | by anonymous_ | 10 min
77,3,2026-05-04 19:23:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 04.05.2026 19:23 | by anonymous_ | 5 min
78,3,2026-05-04 20:23:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 04.05.2026 20:23 | by anonymous_ | 10 min
79,3,2026-05-04 21:28:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 04.05.2026 21:28 | by anonymous_ | 5 min
80,3,2026-05-04 22:23:00+02,5,anonymous,borderalarm,Lastly reported | 5 min | 04.05.2026 22:23 | by anonymous | 10 min
81,3,2026-05-04 23:27:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 04.05.2026 23:27 | by anonymous_ | 5 min
82,3,2026-05-05 00:24:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 05.05.2026 00:24 | by anonymous_ | 15 min
83,3,2026-05-05 01:29:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 05.05.2026 01:29 | by anonymous_ | 10 min
84,3,2026-05-05 02:29:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 05.05.2026 02:29 | by anonymous_ | 5 min
85,3,2026-05-05 03:24:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 05.05.2026 03:24 | by anonymous_ | 10 min
86,3,2026-05-05 04:25:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 05.05.2026 04:25 | by anonymous_ | 5 min
87,3,2026-05-05 05:26:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 05.05.2026 05:26 | by anonymous_ | 15 min
88,3,2026-05-05 06:27:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 05.05.2026 06:27 | by anonymous_ | 10 min
89,3,2026-05-05 07:24:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 05.05.2026 07:24 | by anonymous_ | 5 min
90,3,2026-05-05 08:23:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 05.05.2026 08:23 | by anonymous_ | 15 min
91,3,2026-05-05 09:24:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 05.05.2026 09:24 | by anonymous_ | 10 min
92,3,2026-05-05 10:23:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 05.05.2026 10:23 | by anonymous_ | 5 min
93,3,2026-05-05 11:27:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 05.05.2026 11:27 | by anonymous_ | 15 min
94,3,2026-05-05 12:24:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 05.05.2026 12:24 | by anonymous_ | 10 min
95,3,2026-05-05 13:25:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 05.05.2026 13:25 | by anonymous_ | 5 min
96,3,2026-05-05 14:29:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 05.05.2026 14:29 | by anonymous_ | 10 min
97,3,2026-05-05 15:23:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 05.05.2026 15:23 | by anonymous_ | 5 min
98,3,2026-05-05 16:23:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 05.05.2026 16:23 | by anonymous_ | 15 min
99,3,2026-05-05 17:23:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 05.05.2026 17:23 | by anonymous_ | 10 min
100,3,2026-05-05 18:24:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 05.05.2026 18:24 | by anonymous_ | 5 min
101,3,2026-05-05 19:24:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 05.05.2026 19:24 | by anonymous_ | 15 min
102,3,2026-05-05 20:27:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 05.05.2026 20:27 | by anonymous_ | 10 min
103,3,2026-05-05 21:27:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 05.05.2026 21:27 | by anonymous_ | 5 min
104,3,2026-05-05 22:23:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 05.05.2026 22:23 | by anonymous_ | 10 min
105,3,2026-05-05 23:28:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 05.05.2026 23:28 | by anonymous_ | 5 min
106,3,2026-05-06 00:29:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 06.05.2026 00:29 | by anonymous_ | 15 min
107,3,2026-05-06 02:23:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 06.05.2026 02:23 | by anonymous_ | 5 min
108,3,2026-05-06 01:28:00+02,5,anonymous_,borderalarm,by anonymous_ | 5 min | 06.05.2026 01:28 | by anonymous_ | 10 min
109,3,2026-05-06 03:29:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 06.05.2026 03:29 | by anonymous_ | 15 min
110,3,2026-05-06 04:26:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 06.05.2026 04:26 | by anonymous_ | 10 min
111,3,2026-05-06 05:23:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 06.05.2026 05:23 | by anonymous_ | 5 min
112,3,2026-05-06 06:28:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 06.05.2026 06:28 | by anonymous_ | 10 min
113,3,2026-05-06 07:27:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 06.05.2026 07:27 | by anonymous_ | 5 min
114,3,2026-05-06 08:24:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 06.05.2026 08:24 | by anonymous_ | 10 min
115,3,2026-05-06 09:28:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 06.05.2026 09:28 | by anonymous_ | 5 min
116,3,2026-05-06 10:28:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 06.05.2026 10:28 | by anonymous_ | 15 min
117,3,2026-05-06 11:23:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 06.05.2026 11:23 | by anonymous_ | 10 min
118,3,2026-05-06 12:27:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 06.05.2026 12:27 | by anonymous_ | 5 min
119,3,2026-05-06 13:27:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 06.05.2026 13:27 | by anonymous_ | 10 min
120,3,2026-05-06 14:24:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 06.05.2026 14:24 | by anonymous_ | 5 min
121,3,2026-05-06 15:25:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 06.05.2026 15:25 | by anonymous_ | 15 min
122,3,2026-05-06 16:27:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 06.05.2026 16:27 | by anonymous_ | 10 min
