id,crossing_id,captured_at,interval_minutes,total_vehicles,cars,motorcycles,buses,trucks,lane_breakdown,fps
41,5,2026-05-04 18:54:11.895679+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
42,5,2026-05-04 19:09:59.861382+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",3
43,5,2026-05-04 19:25:43.731281+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
44,5,2026-05-04 19:41:28.805671+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
45,5,2026-05-04 19:52:35.785833+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",3
46,5,2026-05-04 20:01:54.402842+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
47,5,2026-05-04 20:07:23.220305+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",7.5
48,5,2026-05-04 20:23:08.906129+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",5.5
49,5,2026-05-04 20:38:52.759306+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
50,5,2026-05-04 20:53:33.647184+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
51,5,2026-05-04 21:09:19.839981+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
52,5,2026-05-04 21:25:04.755714+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
53,5,2026-05-04 21:40:50.719401+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
54,5,2026-05-04 21:54:33.839157+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
55,5,2026-05-04 22:10:19.691016+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
