id,crossing_id,track_id,vehicle_type,lane,entered_at,exited_at,duration_sec,was_reassigned,frame_count,avg_confidence,notes
3479,5,1926,car,,2026-05-06 19:10:42.271983+02,2026-05-06 19:11:02.264251+02,19.99,f,23,0.354,
3506,5,1148,car,,2026-05-06 19:10:42.271983+02,2026-05-06 19:28:47.489232+02,1085.22,f,761,0.56, [stream_end]
3507,5,1376,car,,2026-05-06 19:10:43.337664+02,2026-05-06 19:28:47.489232+02,1084.15,f,756,0.505, [stream_end]
3480,5,1926,car,,2026-05-06 19:11:02.716502+02,2026-05-06 19:11:04.93453+02,2.22,f,16,0.363,
3481,5,1926,car,,2026-05-06 19:11:05.236424+02,2026-05-06 19:11:07.355013+02,2.12,f,15,0.362,
3483,5,1989,truck,Kafasan L2,2026-05-06 19:11:06.120821+02,2026-05-06 19:11:10.207985+02,4.09,f,28,0.724,lane_switch:Kafasan L2>Kafasan L1
3492,5,1948,truck,,2026-05-06 19:11:10.670952+02,2026-05-06 19:16:47.700329+02,337.03,f,228,0.708,
3487,5,1926,car,,2026-05-06 19:11:12.763741+02,2026-05-06 19:11:25.626395+02,12.86,f,88,0.345,
3486,5,2022,truck,,2026-05-06 19:11:18.563711+02,2026-05-06 19:11:22.675085+02,4.11,f,29,0.461,
3484,5,1968,truck,,2026-05-06 19:11:19.29811+02,2026-05-06 19:11:22.675085+02,3.38,f,24,0.354,
3485,5,2026,car,,2026-05-06 19:11:20.029606+02,2026-05-06 19:11:22.675085+02,2.65,f,19,0.321,
3488,5,2022,truck,,2026-05-06 19:11:24.305448+02,2026-05-06 19:11:28.567656+02,4.26,f,30,0.449,
3489,5,1926,car,,2026-05-06 19:11:26.213545+02,2026-05-06 19:11:28.866004+02,2.65,f,19,0.36,
3491,5,1968,truck,,2026-05-06 19:11:35.721821+02,2026-05-06 19:11:39.845259+02,4.12,f,29,0.352,
3490,5,1926,car,,2026-05-06 19:11:36.164042+02,2026-05-06 19:11:38.66828+02,2.5,f,18,0.35,
3493,5,2022,truck,,2026-05-06 19:11:39.993037+02,2026-05-06 19:16:47.700329+02,307.71,f,30,0.383,
3494,5,2031,car,,2026-05-06 19:11:40.14216+02,2026-05-06 19:16:47.700329+02,307.56,f,29,0.374,
3495,5,2098,truck,,2026-05-06 19:28:11.453491+02,2026-05-06 19:28:18.006704+02,6.55,f,43,0.634,
